Momentum,TPC_Signal,TOF_Signal,PID
0.608399,36.96582,0.950196,0
1.207063,39.224609,0.986665,0
0.456245,39.429688,0.89961,0
1.150821,40.073242,0.865189,0
0.578494,40.253906,0.755262,0
1.223993,41.107422,0.585806,0
0.666147,41.259766,0.918061,0
1.077186,41.304688,0.872399,0
0.423547,41.570312,0.992726,0
0.803543,42.164062,0.840927,0
0.421565,43.283203,0.564345,0
0.746125,43.5625,0.976579,0
0.513548,43.607422,0.906437,0
0.578109,43.679688,0.929649,0
0.512412,43.698242,0.774428,0
0.533481,43.714844,0.821911,0
0.606037,43.751953,0.979127,0
0.710543,43.907227,0.732677,0
0.557338,43.911133,0.901743,0
0.916568,44.352539,0.857812,0
0.596653,44.360352,0.899034,0
0.978523,44.735352,1.0178,0
0.761096,44.923828,1.015294,0
0.521254,44.966797,0.875048,0
0.85412,45.34082,0.945955,0
0.817214,45.362305,0.716797,0
0.474284,45.366211,0.802289,0
0.511376,45.539062,0.862288,0
1.193563,45.586914,0.996362,0
1.022653,45.683594,0.805621,0
0.428159,45.696289,0.961795,0
0.422817,45.796875,0.819012,0
0.860513,45.847656,0.959602,0
0.443173,45.899414,0.718582,0
0.613073,46.071289,1.011754,0
0.486637,46.089844,0.939116,0
0.601852,46.421875,0.538892,0
0.626263,46.525391,0.974801,0
0.540887,46.552734,0.526605,0
0.472605,46.81543,0.988589,0
0.536603,46.986328,0.912564,0
0.423288,47.005859,0.530816,0
0.543427,47.27832,0.999124,0
0.427504,47.335938,0.891377,0
0.451644,47.335938,0.939025,0
0.419891,47.389648,0.933744,0
0.419448,47.541016,0.509721,0
0.69165,47.5625,0.97564,0
1.305825,47.620117,0.715546,0
0.484943,47.675781,1.011315,0
0.899408,47.742188,0.973397,0
0.675648,47.771484,0.848674,0
0.54486,47.789062,0.725448,0
0.436116,47.791992,0.62469,0
0.832925,47.946289,0.585717,0
0.424448,48.050781,0.917501,0
0.785472,48.081055,0.832269,0
1.376864,48.111328,0.997213,0
0.566649,48.121094,0.97178,0
0.458385,48.255859,0.905153,0
0.896781,48.280273,0.992741,0
0.436522,48.287109,0.906075,0
0.389919,48.338867,0.940314,0
1.08605,48.421875,1.004903,0
0.433083,48.485352,0.865329,0
0.865188,48.628906,0.580388,0
0.741114,48.771484,0.956883,0
0.457839,48.80957,0.941599,0
1.589938,48.814453,0.921602,0
0.788458,48.849609,0.738573,0
0.554263,48.902344,0.70379,0
0.461479,48.928711,0.771345,0
0.918644,49.047852,0.822393,0
0.715951,49.055664,0.951032,0
0.70335,49.060547,0.989175,0
0.623209,49.28125,0.787748,0
0.547582,49.355469,0.839178,0
0.40282,49.362305,0.914903,0
1.203293,49.400391,0.995531,0
0.531347,49.475586,0.955812,0
0.755746,49.532227,0.966251,0
0.42268,49.541992,0.743395,0
0.573513,49.542969,0.983964,0
1.037855,49.55957,0.989223,0
0.421557,49.563477,0.987116,0
0.531689,49.577148,0.97433,0
1.120289,49.760742,0.908549,0
0.461064,49.77832,0.681288,0
0.68439,49.805664,0.969618,0
1.149449,49.84668,0.883929,0
0.505059,49.923828,0.776552,0
0.578783,50.0,0.950341,0
1.218532,50.000977,1.002204,0
0.811767,50.097656,0.985556,0
0.44428,50.186523,0.952136,0
0.812627,50.253906,0.87024,0
0.461094,50.268555,0.928824,0
0.611007,50.291992,1.016705,0
0.965628,50.490234,0.914408,0
0.541972,50.576172,0.667097,0
0.533149,50.602539,0.972105,0
1.088356,50.641602,0.902007,0
0.394579,50.785156,0.998914,0
0.532896,50.821289,0.580053,0
0.412761,50.97168,0.881527,0
1.393206,51.316406,0.726018,0
0.828159,51.352539,0.783189,0
0.99534,51.359375,0.976853,0
0.707247,51.388672,0.788236,0
0.773,51.52832,1.008253,0
0.497694,51.802734,0.697118,0
0.5384,51.863281,0.693734,0
0.502259,52.042969,0.71099,0
0.722418,52.042969,0.808433,0
1.178421,52.125,0.908244,0
0.875974,52.21582,0.775945,0
1.258569,52.410156,0.612196,0
0.550163,52.631836,0.9983,0
1.44032,52.633789,0.694765,0
0.76692,52.767578,0.849475,0
0.389626,52.9375,0.723591,0
0.896872,52.969727,0.985915,0
1.20037,53.177734,0.790726,0
0.582722,53.383789,0.996237,0
0.985102,53.405273,0.986949,0
0.761043,53.672852,0.743668,0
0.864399,53.895508,0.959541,0
0.564026,54.03125,0.719514,0
0.635341,54.095703,0.661774,0
0.93864,54.123047,0.928087,0
